"__mclCluster","name","selected","shared name","Type"
"1","1130","false","1130","SourceNode"
"1","376","false","376","SourceNode"
"1","1128","false","1128","SourceNode"
"1","374","false","374","SourceNode"
"1","339","false","339","SourceNode"
"1","1086","false","1086","SourceNode"
"1","1084","false","1084","SourceNode"
"1","1085","false","1085","SourceNode"
"1","338","false","338","SourceNode"
"1","1083","false","1083","SourceNode"
"1","336","false","336","SourceNode"
"1","337","false","337","SourceNode"
"1","335","false","335","SourceNode"
"2","1082","false","1082","SourceNode"
"1","1091","false","1091","SourceNode"
"1","345","false","345","SourceNode"
"16","343","false","343","SourceNode"
"1","1090","false","1090","SourceNode"
"1","1088","false","1088","SourceNode"
"1","1089","false","1089","SourceNode"
"1","342","false","342","SourceNode"
"1","1087","false","1087","SourceNode"
"1","340","false","340","SourceNode"
"1","341","false","341","SourceNode"
"1","1097","false","1097","SourceNode"
"1","1095","false","1095","SourceNode"
"1","348","false","348","SourceNode"
"1","349","false","349","SourceNode"
"1","347","false","347","SourceNode"
"2","1094","false","1094","SourceNode"
"1","1092","false","1092","SourceNode"
"2","1093","false","1093","SourceNode"
"5","357","false","357","SourceNode"
"1","1102","false","1102","SourceNode"
"1","1100","false","1100","SourceNode"
"1","1101","false","1101","SourceNode"
"1","356","false","356","SourceNode"
"1","1099","false","1099","SourceNode"
"1","353","false","353","SourceNode"
"1","354","false","354","SourceNode"
"1","352","false","352","SourceNode"
"1","1098","false","1098","SourceNode"
"1","405","false","405","SourceNode"
"1","1159","false","1159","SourceNode"
"1","1157","false","1157","SourceNode"
"1","1158","false","1158","SourceNode"
"1","404","false","404","SourceNode"
"1","1156","false","1156","SourceNode"
"2","402","false","402","SourceNode"
"1","403","false","403","SourceNode"
"1","401","false","401","SourceNode"
"1","1155","false","1155","SourceNode"
"1","1164","false","1164","SourceNode"
"1","410","false","410","SourceNode"
"1","411","false","411","SourceNode"
"1","409","false","409","SourceNode"
"1","1163","false","1163","SourceNode"
"1","1161","false","1161","SourceNode"
"1","1162","false","1162","SourceNode"
"1","408","false","408","SourceNode"
"1","1160","false","1160","SourceNode"
"1","406","false","406","SourceNode"
"1","407","false","407","SourceNode"
"1","416","false","416","SourceNode"
"1","414","false","414","SourceNode"
"1","415","false","415","SourceNode"
"1","413","false","413","SourceNode"
"1","412","false","412","SourceNode"
"1","421","false","421","SourceNode"
"1","420","false","420","SourceNode"
"1","418","false","418","SourceNode"
"1","419","false","419","SourceNode"
"1","1137","false","1137","SourceNode"
"7","1138","false","1138","SourceNode"
"1","384","false","384","SourceNode"
"1","1136","false","1136","SourceNode"
"1","382","false","382","SourceNode"
"2","383","false","383","SourceNode"
"1","1135","false","1135","SourceNode"
"1","1133","false","1133","SourceNode"
"1","1134","false","1134","SourceNode"
"1","380","false","380","SourceNode"
"1","389","false","389","SourceNode"
"1","1143","false","1143","SourceNode"
"1","1141","false","1141","SourceNode"
"1","1142","false","1142","SourceNode"
"1","388","false","388","SourceNode"
"2","1140","false","1140","SourceNode"
"1","386","false","386","SourceNode"
"17","387","false","387","SourceNode"
"1","1139","false","1139","SourceNode"
"1","1148","false","1148","SourceNode"
"1","394","false","394","SourceNode"
"1","395","false","395","SourceNode"
"1","1147","false","1147","SourceNode"
"1","1145","false","1145","SourceNode"
"11","1146","false","1146","SourceNode"
"1","392","false","392","SourceNode"
"16","1144","false","1144","SourceNode"
"1","390","false","390","SourceNode"
"1","391","false","391","SourceNode"
"1","1153","false","1153","SourceNode"
"2","1154","false","1154","SourceNode"
"1","400","false","400","SourceNode"
"1","1152","false","1152","SourceNode"
"1","398","false","398","SourceNode"
"1","399","false","399","SourceNode"
"1","397","false","397","SourceNode"
"1","1151","false","1151","SourceNode"
"1","1149","false","1149","SourceNode"
"1","1150","false","1150","SourceNode"
"10","396","false","396","SourceNode"
"1","453","false","453","SourceNode"
"1","451","false","451","SourceNode"
"1","452","false","452","SourceNode"
"1","450","false","450","SourceNode"
"1","448","false","448","SourceNode"
"1","458","false","458","SourceNode"
"1","457","false","457","SourceNode"
"1","455","false","455","SourceNode"
"1","456","false","456","SourceNode"
"1","454","false","454","SourceNode"
"1","463","false","463","SourceNode"
"1","464","false","464","SourceNode"
"1","462","false","462","SourceNode"
"1","461","false","461","SourceNode"
"1","459","false","459","SourceNode"
"1","460","false","460","SourceNode"
"1","470","false","470","SourceNode"
"1","467","false","467","SourceNode"
"1","469","false","469","SourceNode"
"1","466","false","466","SourceNode"
"1","465","false","465","SourceNode"
"1","428","false","428","SourceNode"
"2","425","false","425","SourceNode"
"1","424","false","424","SourceNode"
"1","422","false","422","SourceNode"
"1","423","false","423","SourceNode"
"2","434","false","434","SourceNode"
"3","432","false","432","SourceNode"
"1","431","false","431","SourceNode"
"3","430","false","430","SourceNode"
"1","440","false","440","SourceNode"
"1","439","false","439","SourceNode"
